room_type,required_car_parking_spaces,special_requests,rate,total_guests,hotel_type,parking,restaurant,pool_and_spa,avg_review,cancelled_last_30_days,advance_reservation_days,board_FB,board_SC,distribution_channel_Direct,distribution_channel_TA/TO,country_POR,country_SPA,market_segment_Complementary,market_segment_Direct,market_segment_Leisure
1,0,0,-0.307871964925867,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8750727989650869,0,0,0,1,0,1,0,0,1
1,0,0,-0.9216330823891056,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8750727989650869,0,0,1,0,0,1,0,1,0
1,0,0,0.7194059295036233,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8372228673231247,0,0,0,0,0,1,0,0,0
1,0,1,1.9783709729785794,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7804479698601813,0,0,1,0,0,1,0,1,0
1,0,0,-0.8777885286362465,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7993729356811624,0,0,1,0,0,1,0,1,0
1,0,0,0.7194059295036233,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8372228673231247,0,0,0,0,0,1,0,0,0
1,0,0,-0.16374865323253995,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8750727989650869,0,0,1,0,0,1,0,1,0
1,0,0,-0.40176194503377544,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8750727989650869,0,0,1,0,0,1,0,1,0
1,0,1,-0.5395591139713328,-0.3911256378989827,1,0,1,0,1.384782998553706,1,-0.8182979015021435,0,0,1,0,0,1,0,1,0
1,0,1,-0.5395591139713328,-0.3911256378989827,1,0,1,0,1.384782998553706,1,-0.8182979015021435,0,0,1,0,0,1,0,1,0
1,0,1,-1.0907477897215623,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7993729356811624,0,0,1,0,0,1,0,1,0
0,0,1,-0.4142889603917352,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8182979015021435,0,0,1,0,0,1,0,1,0
1,0,1,-0.6021941907611317,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7804479698601813,0,0,1,0,0,1,0,0,0
1,0,1,-0.10737708412172103,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8372228673231247,0,0,1,0,0,1,0,0,0
1,0,0,-1.0343762206107434,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8750727989650869,0,0,1,0,0,1,0,1,0
0,0,1,2.582799464000138,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8750727989650869,0,0,1,0,0,1,0,1,0
1,0,0,-0.8151534518464476,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7993729356811624,0,0,0,1,0,1,0,0,1
1,0,0,-0.8151534518464476,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8561478331441058,0,0,0,1,0,1,0,0,1
1,0,0,-0.8151534518464476,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8561478331441058,0,0,0,1,0,1,0,0,1
1,0,0,-0.8151534518464476,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7993729356811624,0,0,0,1,0,1,0,0,1
0,0,0,1.522700789332793,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.6101232774713511,0,0,1,0,0,1,0,1,0
0,0,0,1.522700789332793,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.6101232774713511,0,0,1,0,0,1,0,1,0
1,0,0,2.5734042024816683,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8750727989650869,0,0,1,0,0,1,0,1,0
1,0,0,-0.1825391762694796,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8182979015021435,0,0,0,1,0,1,0,0,1
1,0,0,-0.1825391762694796,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8182979015021435,0,0,0,1,0,1,0,0,1
1,0,0,-0.9967951745368642,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8750727989650869,0,0,1,0,0,1,0,1,0
1,0,0,0.4313472113473385,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7047481065762567,0,0,1,0,0,1,0,1,0
1,0,0,1.6025605122397866,-0.3911256378989827,1,0,1,0,1.384782998553706,0,2.380021322243668,0,0,0,1,0,1,0,0,1
1,0,0,1.6025605122397866,-0.3911256378989827,1,0,1,0,1.384782998553706,0,2.380021322243668,0,0,0,1,0,1,0,0,1
1,0,0,1.6025605122397866,-0.3911256378989827,1,0,1,0,1.384782998553706,0,2.380021322243668,0,0,0,1,0,1,0,0,1
1,0,0,-0.8151534518464476,-0.3911256378989827,1,0,1,0,1.384782998553706,1,1.8122723476142337,0,0,0,1,0,1,0,0,1
1,0,0,-0.8151534518464476,-0.3911256378989827,1,0,1,0,1.384782998553706,1,1.7365724843303092,0,0,0,1,0,1,0,0,1
1,0,0,-0.8151534518464476,-0.3911256378989827,1,0,1,0,1.384782998553706,1,1.7365724843303092,0,0,0,1,0,1,0,0,1
1,0,0,-0.8151534518464476,-0.3911256378989827,1,0,1,0,1.384782998553706,1,1.7365724843303092,0,0,0,1,0,1,0,0,1
